german;english;level;example;example_en;rank
der Bote;messenger|postman|letter carrier|apostle;B2;Statt selbst zu gehen, schickte ich einen Boten.;Instead of going myself, I sent a messenger.;4910
belasten;to burden|to incriminate|to debit|to charge;B2;Mein Haus ist nicht mit einer Hypothek belastet.;My house is a mortgage-free house.;4911
das Handgelenk;wrist;B2;Sie kam mit einem Schlag aufs Handgelenk davon.;She got off with a slap on the wrist.;4912
die Literatur;literature;B2;In der älteren biologischen Literatur wurden diese Begriffe nicht streng geschieden.;In the older biological literature, these terms were not distinguished strictly.;4913
der Satellit;satellite;B2;Die Erde hat einen natürlichen Satelliten: den Mond.;Earth has one naturally occurring satellite, the Moon.;4914
analysieren;to analyze;B2;Sie haben all die Aufnahmen mit Geduld analysiert.;They analyzed all of the recordings patiently.;4915
queren;to cross;B2;Weißt du genau, wo Hannibal die Alpen querte?;Do you know where exactly Hannibal crossed the Alps?;4916
quer;crosswise|cross|across;B2;Das Blut transportiert die Nährstoffe quer durch den Körper.;The blood transports nutrients throughout the body.;4917
geleiten;to escort|to convoy;B2;Die Konferenz wurde von Herrn Mori geleitet.;The conference was presided over by Mr Mori.;4918
zutiefst;deeply;B2;Ich bin dir zutiefst dankbar für deine Freundlichkeit.;I am deeply grateful to you for your kindness.;4919
köpfeln;to head|to take a header;B2;Ich werde dich köpfen. Das verspreche ich dir.;I will behead you. I promise you that.;4920
die Hüfte;hip|hips;B2;Der Mann trug eine Pistole an der Hüfte.;The man wore a gun on his hip.;4921
das Stipendium;scholarship;B2;Das Stipendium ermöglichte ihm, im Ausland zu studieren.;The scholarship enabled him to study abroad.;4922
involvieren;to involve|to be involved;B2;in etwas involviert sein;to be involved in something;4923
der Illegaler;illegal immigrant|illegal alien;B2;Illegale Einwanderung ist ein ernstes Problem.;Illegal immigration is a serious problem.;4924
der Same;Sami man;B2;Der Wind trägt die Samen über große Entfernungen.;The wind carries seeds for great distances.;4925
der Samen;seed|grain|semen|sperm|offspring;B2;Die Samen haben schon gekeimt.;The seeds have already sprouted.;4926
der Wurf;throw|litter;B2;Ich habe einen Wurf Babymäuse im Schrank gefunden.;I found a nest of baby mice in the closet.;4927
der Maschinenraum;engine room;B2;Das Feuer ist im Maschinenraum ausgebrochen.;The fire started in the machine room.;4928
der Hinterhalt;ambush;B2;Das ist der perfekte Ort für einen Hinterhalt.;It's the perfect place for an ambush.;4929
zurückhalten;to hold back|to hold onto oneself;B2;Ich werde versuchen, mich diesbezüglich verbal etwas zurückzuhalten.;I'll try to be less outspoken about that stuff.;4930
einatmen;to inhale|to breathe in;B2;Es ist belebend, die erquickende, klare Bergluft einzuatmen.;It's invigorating to breathe the brisk, fresh mountain air.;4931
der Gewahrsam;custody|custody of a person|detention center;B2;Einer der Entführer befindet sich in polizeilichem Gewahrsam.;The police have one of the kidnappers in custody.;4932
das Parfüm;perfume;B2;Ich habe eine Flasche Parfum aus Grasse.;I have a bottle of perfume from Grasse.;4933
die Entlassung;release|dismissal|discharge;B2;Für Tom war die Entlassung ein unerwarteter Schock.;For Tom, getting fired was an unexpected shock.;4934
der Hauch;breath from the mouth|whisper|sough|aspiration|waft;B2;Ich habe nicht einmal den Hauch einer Chance.;I don't have a snowball's chance in hell.;4935
ausbrechen;to break out;B2;Er lebte in London als der Krieg ausbrach.;He was living in London when the war broke out.;4936
die Todesstrafe;capital punishment|death penalty;B2;Dieses Verbrechen kann mit der Todesstrafe geahndet werden.;That crime is punishable by death.;4937
hauchen;to whisper|to breathe out;B2;Hauch mich mal an, Tom. Du hast getrunken!;Breathe on me, Tom. You have been drinking!;4938
wegfahren;to drive away|to drive off|to take away with a vehicle;B2;Mit ausdruckslosem Blick sah der Mann zu, wie das Auto wegfuhr.;With a vacant stare the man watched the car drive away.;4939
abstellen;to put down|to set down;B2;Bitte stellen Sie das Paket hier ab.;Please place the parcel here.;4940
der Müller;miller;B2;Jemand mit Namen Müller wünscht Sie zu sehen.;A person named Miller wants to see you.;4941
gehängt;hung|hanged;B2;Sie hat das Geschenk auf den Weihnachtsbaum gehängt.;She hung the present on the Christmas tree.;4942
der Umkreis;surroundings|circumcircle|compass;B2;Hier im Umkreis gibt es viele moderne Gebäude.;There are many modern buildings around here.;4943
die Beschwerde;complaint|complaints|discomforts|physical trouble|symptoms|physical illness;B2;Diese Woche haben wir bislang dreizehn Beschwerden erhalten.;We've received thirteen complaints so far this week.;4944
bevorzugen;to favor|to prefer;B2;Unsere Kinder lieben Hunde, aber ich bevorzuge Katzen.;Our children like dogs, but I prefer cats.;4945
der Schneid;guts|balls|pluck|grit;B2;Den Schneid hast du nicht.;You don't have the guts.;4946
umkreisen;to circle;B2;Wir werden alle Planeten erforschen, die die Sonne umkreisen.;We will explore every planet that goes around the sun.;4947
genehmigen;to permit|to sanction|to approve;B2;Der amerikanische Senat genehmigte den Vertrag zügig.;The American Senate quickly approved the treaty.;4948
der Ärmel;sleeve;B2;Sie hat ein hellblaues Kleid mit kurzen Ärmeln.;She has a light-blue dress with short sleeves.;4949
das Fließ|der Fließ;brook|small stream;B2;;;4950
erschlagen;to slay|to strike dead|to swamp|to overwhelm;B2;Er erschlug den Drachen und rettete die Prinzessin.;He slayed the dragon and saved the princess.;4951
jucken;to itch|to cause an urge;B2;Juck mich mal hier am Arm!;Itch me here on my arm please.;4952
der Klingone;Klingon;B2;Er trat auch in einer Star-Trek-Folge als Klingone auf.;He also appeared in a Star Trek episode as a Klingon.;4953
arabisch;Arabian|Arabic|Arab;B2;Die arabische Schrift wurde durch die lateinische ersetzt.;The Arabic script was replaced by the Roman alphabet.;4954
der Gärtner;gardener;B2;Der Regenwurm ist der beste Freund des Gärtners.;Earthworms are a gardener's best friends.;4955
der Schlaganfall;apoplexy|stroke;B2;Tom muss an einem Schlaganfall gestorben sein.;Tom must've died of a stroke.;4956
der Jet;jet plane;B2;Der neue Jet umrundet die Erde in vierundzwanzig Stunden.;The new jet circles the globe in twenty-four hours.;4957
zerreißen;to rip|to tear|to rip up|to tear up|to disrupt|to break;B2;Es sieht aus als wäre dein Hemd zerrissen.;It looks like your shirt is torn.;4958
zerrissen;torn|ripped;B2;Der arme Hund wurde von dem Löwen regelrecht zerrissen.;The poor dog was literally torn apart by the lion.;4959
gärtnern;to garden;B2;Mein Vater gärtnert sonntags.;My father gardens on Sundays.;4960
power;poor|miserable;B2;;;4961
die Garantie;guarantee|warranty;B2;Bei unsachgemäßem Gebrauch des Geräts erlischt die Garantie.;Improper use of the device voids the warranty.;4962
der Anstand;decency|manners;B2;Tom hatte nicht den Anstand, sich zu entschuldigen.;Tom didn't have the courtesy to say that he was sorry.;4963
die Power;strength|energy|physical power|power;B2;Tom wurde gebeten, eine Power-Point-Präsentation zu erstellen.;Tom was asked to prepare a PowerPoint presentation.;4964
anstehen;to stand in a queue|to be pending|to be upcoming|to be on the agenda|to be due|to protrude;B2;Entschuldigung. Stehen Sie an?;Sorry, are you in the queue?;4965
der Topf;pot|jar|crock|cooking pot|saucepan;B2;Die Katze hielt die Nase in den Topf.;The cat put its nose in the pot.;4966
der Vati;dad;B2;Vati, ein UFO! Es ist ein UFO!;Dad, a UFO! It's a UFO!;4967
knöpfen;to button;B2;Sie knöpfte sich schnell den Mantel zu.;She quickly fastened her coat buttons.;4968
die Chemie;chemistry;B2;Die Alchimie war die Vorläuferin der modernen Chemie.;Alchemy was the forerunner of modern chemistry.;4969
der Sprecher;a speaker|one who speaks|especially;B2;Der Sprecher in dem Dokumentarfilm war Morgan Freeman.;The documentary was narrated by Morgan Freeman.;4970
verabschiedet;passed|adopted;B2;Die Generalversammlung der Vereinten Nationen verabschiedete die Waffenstillstandsresolution.;The United Nations General Assembly adopted the cease-fire resolution.;4971
kühl;cool|calm|restrained|passionless|frigid;B2;Seine warme Begrüßung kontrastierte mit seinem kühlen Abschied.;His warm welcome contrasted with his cool goodbye.;4972
die Rippe;rib;B2;Ich glaube, ich habe mir eine Rippe gebrochen.;I think I have a broken rib.;4973
stumm;mute|dumb|silent|non-verbal|not explicitly expressed;B2;Der Junge war stumm und schwachsinnig.;The boy was mute and imbecile.;4974
kühlen;to cool|to refrigerate;B2;Ich kühlte den Kopf des Patienten mit Eis.;I cooled the patient’s head with ice.;4975
geradezu;downright|almost;B2;Ihn ein Genie zu nennen ist geradezu abstrus.;To call him a genius is downright absurd.;4976
zusammenhalten;to hold together|to keep together|to stick together;B2;In Zeiten wie diesen sollten wir alle zusammenhalten.;In times like this, we should all pull together.;4977
der Techniker;technician|technologist|engineer;B2;In den Entwicklungsländern fehlt es an guten Technikern.;Good technicians are in short supply in the developing countries.;4978
die Ausgabe;edition|issue|version|copy|expenditure|spending;B2;Ich will eine zweisprachige Ausgabe des Handbuchs.;I want a bilingual copy of the manual.;4979
beachten;to note|to notice|to observe|to mind|to heed;B2;Sie beachtete ihn nicht, das war nicht klug.;She ignored him, which proved unwise.;4980
dahinten;back there;B2;Es ist irgendwo dahinten, durch den Sumpf.;It's back there somewhere, through the bog.;4981
südlich;south|southern;B2;Tasmanien befindet sich auf dem 40. südlichen Breitengrad.;Tasmania is on the 40 degrees South latitude.;4982
das Laken;sheet|bed sheet;B2;Du bist ja weiß wie ein Laken!;You are as white as a sheet.;4983
das Gramm;gram;B2;Meine Tochter wog bei der Geburt 3629 Gramm.;My daughter weighed eight pounds at birth.;4984
die Kritik;criticism|review|critique;B2;Trotz Kritik wird sich das Vergabeprozedere nicht ändern.;Despite criticism, the award procedure will not change.;4985
der Lastwagen;truck|lorry;B2;Das Tor war zu eng für den Lastwagen.;The gate was too narrow for the truck.;4986
entsetzlich;horrible|terrible|horrendous|appalling|horribly|terribly;B2;sie haben entsetzlich gelitten;they have suffered horribly;4987
der Ermittler;investigator|detective;B2;Fast sofort sprangen den Ermittlern Ungereimtheiten ins Auge.;Almost immediately, investigators noticed anomalies.;4988
die Fälschung;counterfeit|forgery;B2;Ist das ein echter Diamant oder eine Fälschung?;Is this diamond real or fake?;4989
sensibel;sensitive;B2;Ich bin ein sehr sensibler und emotionaler Mensch.;I'm a very sensitive and emotional person.;4990
der Abschnitt;section|paragraph|segment;B2;Die Publikation besteht aus einer Inhaltsangabe und sechs Abschnitten.;The publication consists of a summary and six sections.;4991
das Lösegeld;ransom;B2;Tom war sofort bereit, das Lösegeld zu bezahlen.;Tom immediately agreed to pay the ransom.;4992
verwechseln;to mix up;B2;Immer wieder verwechsle ich die Zwillinge, weil sie sich so ähnlich sehen.;Time and again I keep mixing the twins up because they look so much alike.;4993
das Lebewesen;organism|creature|an animal or human;B2;Es gibt keine Lebewesen auf dem Mond.;There is no life on the moon.;4994
der Hausarrest;house arrest|grounding;B2;Er steht unter Hausarrest.;He is under house arrest.;4995
die Weiche;railway switch|points|softness|flank|loin;B2;Weichen Sie nicht von Ihrem Weg ab.;Don't go out of your way.;4996
die Gewerkschaft;labor union|trade union;B2;Die Gewerkschaft war maßvoll in ihren Lohnforderungen.;The union was modest in its wage demands.;4997
anvertrauen;to entrust in various ways;B2;Tom kann Mary seine wahren Gefühle nicht anvertrauen.;Tom can't tell Mary his real feelings.;4998
herhören;to listen;B2;Herhören! Ich habe eine gute Nachricht.;Listen, I have good news.;4999
die Kuppel;dome;C1;Die Kuppel der Kathedrale von Florenz wurde von Filippo Brunelleschi entworfen.;The dome of Florence's cathedral was designed by Filippo Brunelleschi.;5000
kuppeln;to couple|to operate the clutch;C1;;;5001
das Wrack;wreck;C1;Das Wrack des Schiffs wurde mit Spezialkränen geborgen.;The wreck of the ship was recovered with specialized cranes.;5002
hinzu;in addition|besides|on the way there;C1;Geben Sie den Naturjoghurt und die Sojamilch hinzu.;Add the natural yoghurt and soya milk.;5003
verborgen;to lend|hidden;C1;Tom wusste, was in der Höhle verborgen war.;Tom knew what was hidden in the cave.;5004
der Treibstoff;fuel;C1;Man muss die Maschine mit Treibstoff versorgen.;We must fuel the machine.;5005
nachkommen;to come later|to keep up|to keep track|to comply|to meet|to satisfy;C1;Geht schon mal vor, ich komme nach.;You go ahead, I’ll come later.;5006
der Nachkomme;offspring|descendant|scion;C1;Hunde sind Nachkommen der Wölfe.;Dogs are descendents of wolves.;5007
das Hoppla;flub|fluff|lapse|oopsy|slip-up;C1;Da ist uns ein Hoppla passiert!;We had a slip-up there!;5008
das Wurmloch;wormhole;C1;Wurmlöcher ermöglichen es Raumschiffen, quer durch die ganze Galaxie zu reisen.;Wormholes allow spaceships to travel throughout the galaxy.;5009
das Waisenhaus;orphanage;C1;Ich wurde in einem Waisenhaus in Boston aufgezogen.;I was raised in an orphanage in Boston.;5010
belegen;to cover|to fill|to document|to back|to substantiate|to enroll for;C1;Meine Mitbewohner belegen fünf Kurse zusammen.;My roommates take five classes together.;5011
belegt;documented|proven|attested|occupied|taken|plated;C1;Dieser Platz ist belegt.;This seat is taken.;5012
die Fee;fairy;C1;Die Fee verwandelte den Prinzen in eine Katze.;The fairy changed the prince into a cat.;5013
der Kommunist;communist / Communist;C1;In China ergriffen die Kommunisten 1949 die Macht.;Communists took power in China in 1949.;5014
die Quarantäne;quarantine;C1;Wir haben uns während der Quarantäne ineinander verliebt.;We fell in love during the quarantine.;5015
die Stiftung;foundation;C1;Er hat der Mozilla-Stiftung ein großes Vermögen vermacht.;He left a large bequest to the Mozilla Foundation.;5016
der Maulwurf;mole;C1;Wie befreit man einen Garten von Maulwürfen?;How do you get rid of moles in the garden?;5017
süchtig;addicted;C1;Er ist seit Jahren süchtig nach Tabletten.;He's been addicted to pills for years.;5018
der Konflikt;conflict;C1;Ihr Freund ist im Konflikt mit dem Gesetz.;Her boyfriend is in trouble with the law.;5019
das Halleluja;hallelujah;C1;;;5020
das Turnier;tournament;C1;Der Sepp, der hütet Küh' und Stiere, die Brüder fochten die Turniere.;Sepp guards cows and bulls, the brothers fought the tournaments.;5021
verreisen;to take a trip|to travel|to go out of town;C1;Wenn das Wetter gut ist, verreisen wir morgen.;We'll start our journey tomorrow if the weather's good.;5022
der Mais;maize|corn;C1;Der wilde Vorläufer des domestizierten Maises war Teosinte.;Domestic corn's wild precursor was teosinte.;5023
die Nuss;nut;C1;Nicht alles, was rund ist, ist eine Nuss.;Appearances often are deceiving.;5024
die Taube;pigeon|dove|Columba;C1;Die Tauben von Boston sind fett und stolz.;The pigeons of Boston are fat and proud.;5025
der Trieb;sprout|drive|urge|impulse|desire;C1;Die Philosophie ist eigentlich Heimweh – Trieb, überall zu Hause zu sein.;Philosophy is actually homesickness: the drive to be at home everywhere.;5026
der Tauber;male pigeon or dove|deaf person;C1;Er macht die Blinden sehend und die Tauben hörend.;He makes the blind see and the deaf hear.;5027
der Sänger;agent noun of singen|singer;C1;Dieser Sänger ist bei den Jugendlichen sehr beliebt.;This singer is very popular with young people.;5028
das Rathaus;city hall|town hall;C1;Das Rathaus befindet sich gleich um die Ecke.;The city hall is just around the corner.;5029
die Eigenschaft;feature|property|characteristic|quality;C1;Sind wir wirklich mehr als die Summe unserer Eigenschaften?;Are we really more than the sum of our characteristics?;5030
die Wanne;tub|flat-bottomed vessel|police van;C1;Tom stieg aus der Wanne und trocknete sich ab.;Tom got out of the bathtub and dried himself off.;5031
bewirken;to bring about;C1;Die Inflation bewirkt eine schleichende Enteignung der Sparer.;Inflation inflicts a creeping expropriation upon savers.;5032
durchkommen;to come through|to pass through|to pass|to get through|to get by|to get along;C1;Denken Sie ja nicht, daß Sie damit durchkommen!;Don't think you're going to get away with that.;5033
unerwartet;unexpected;C1;Ich freute mich, dass sie mich unerwartet besuchte.;I was happy for her unexpected visit.;5034
der Drogendealer;drug dealer;C1;Die Polizei startete eine Offensive gegen einige Drogendealer.;The police conducted an offensive against some drug dealers.;5035
verbessert;improved;C1;Ich glaube, mein Französisch verbessert sich nicht besonders.;I have the feeling that my French isn't improving much.;5036
der Vertrauter;confidant|a trusted person;C1;Maria ist eine von Toms engsten Vertrauten.;Mary is one of Tom's closest confidantes.;5037
das Fach;compartment|drawer|subject;C1;Wir haben zwei neue Fächer in diesem Semester.;We have two new subjects this semester.;5038
der Mercedes;Mercedes|cream of the crop;C1;Bist du in Deutschland einen Mercedes gefahren?;Did you drive a Mercedes in Germany?;5039
der Kragen;collar|neck;C1;Der Mann versuchte mich am Kragen zu packen.;The man tried to catch hold of me by the collar.;5040
klirren;to clink|to clank|to clash|to jingle|to clatter;C1;In diesem Lande ist es klirrend kalt.;It's freezing cold in this country.;5041
der Valentinstag;Valentine's Day;C1;Am vierzehnten Februar feiern die Amerikaner den Valentinstag.;On February 14th, Americans celebrate Valentine's Day.;5042
anstelle;instead;C1;Ich kaufte das schwarze Fahrrad anstelle des roten.;I bought the black bike instead of the red one.;5043
das Ehrenwort;One's word of honor;C1;Er gab mir sein Ehrenwort.;He gave me his word.;5044
markieren;to mark|to tag;C1;Tom markierte den Satz mit einem gelben Leuchtstift.;Tom marked a sentence with a yellow highlighter.;5045
die Handlung;plot|deed|action|act|store|shop;C1;Ich muss meine Handlungen dir gegenüber nicht rechtfertigen.;I don't need to justify my actions to you.;5046
der Schlamm;mud|sludge|ooze;C1;Eine Lawine aus Schlamm zerstörte ein österreichisches Dorf.;A mudslide destroyed an Austrian village.;5047
die Abkürzung;shortcut;C1;Hier ist eine Liste mit häufigen Abkürzungen.;Here is a list of common abbreviations.;5048
die Stange;pole|bar|rod|post|carton|a lot;C1;Stangenkleidung ist mir nicht individuell genug.;I find run-of-the-mill garments lacking in individuality.;5049
die Beichte;confession;C1;Ich bin nur einmal im Leben zur Beichte gegangen.;I've only been to confession once in my life.;5050
der Mechaniker;mechanic|repairman|fitter|mechanician|machinist;C1;Tom hat eine Anstellung als Mechaniker gefunden.;Tom found a job as a mechanic.;5051
der Klassiker;classic;C1;Viele von Toms Romanen sind Klassiker geworden.;Many of Tom's novels have become classics.;5052
beichten;to confess;C1;Tom beichtete seinem Freund, dass er sich erhängen wolle.;Tom confided in his friend that he was going to hang himself.;5053
empfohlen;recommended|endorsed;C1;Mein Lehrer hat mir empfohlen, Shakespeare zu lesen.;My teacher recommended that I read Shakespeare.;5054
herauswerfen;to throw out;C1;Kein Wunder, dass man dich rauswerfen will!;No wonder they want to fire you.;5055
der Wal;whale;C1;Wale sind die größten Tiere auf der Erde.;The whale is the largest animal on the earth.;5056
das Begräbnis;funeral|burial;C1;Es ist Tradition, zu einem Begräbnis Schwarz zu tragen.;It is traditional to wear black to a funeral.;5057
verführen;to seduce|to debauch|to ensnare|to entrap;C1;Ich glaube, dass Maria versucht, Tom zu verführen.;I think that Mary is trying to seduce Tom.;5058
professionell;professional;C1;Ich wollte schon immer ein professioneller Basketballspieler werden.;I've always wanted to be a professional basketball player.;5059
der Chirurg;surgeon;C1;Der Chirurg entfernte dem Patienten den Blinddarm.;The surgeon took out his patient's appendix.;5060
das Center;centre / center|shopping centre;C1;Welche Opern werden jetzt gerade am Lincoln Center aufgeführt?;What operas are being performed at the Lincoln Center right now?;5061
der Center;center|centre;C1;Die furchtbaren Anschläge auf das World Trade Center bleiben unvergessen.;The terrible end of the World Trade Centre remains unforgotten.;5062
das Dienstmädchen;maid|housemaid;C1;Das Dienstmädchen kündigte jeden Gast einzeln an.;The maid announced each guest.;5063
meinerseits;for my part|on my part|with respect to me;C1;Ich habe meinerseits keine Einwände.;I have no objections on my part.;5064
amüsant;amusing|fun;C1;Es war auf Toms Feier eigentlich ganz amüsant.;Tom's party was kind of fun, actually.;5065
schwänzen;to skip|to truant|to play hooky|to wag|to skive;C1;Jener Schüler hat dreimal hintereinander den Unterricht geschwänzt.;The student missed class three times in a row.;5066
zugleich;at the same time|simultaneously;C1;an mehreren Stellen zugleich;at multiple points simultaneously;5067
bewundert;admired;C1;Es gab keinen, der den Jungen nicht bewunderte.;There was no one that did not admire the boy.;5068
der Wecker;alarm clock|waker|knocker-up;C1;Ich werde den Wecker auf sieben Uhr stellen.;I'll set the alarm for seven o'clock.;5069
entstanden;originated|spontaneous;C1;Überall in Europa ist bereits großer Waldbrandschaden entstanden.;Across Europe, forest fires have already caused major damage.;5070
die Quere;being in something's way;C1;Der alte Mann kam ihr in die Quere.;The old man got in her way.;5071
die Lobby;lobby|foyer|vestibule;C1;Tom bat Mary, in der Lobby zu warten.;Tom asked Mary to wait in the lobby.;5072
die Perle;pearl|bead;C1;Können Perlen und anderen Edelsteine den Körper heilen?;Can pearls and other gems heal the body?;5073
aufziehen;to [auxiliary haben];C1;Die Uhr muss mal wieder aufgezogen werden.;The clock is in need of some winding up.;5074
das Spital;hospital;C1;Sie wird das Spital bald verlassen.;She will leave the hospital soon.;5075
die Aufsicht;supervision|oversight;C1;;;5076
das Hündchen;doggy|puppy;C1;Hast du heute Morgen das Hündchen gefüttert?;Did you feed the dog this morning?;5077
der Gegenstand;object|item|thing|article|subject|topic;C1;§ 804 I ZPO [Allgemeine Vorschriften über die Zwangsvollstreckung in das bewegliche Vermögen];Through the attachment the creditor acquires a garnishment over the attached object.;5078
clean;clean|drugfree;C1;;;5079
der Sünder;sinner;C1;Warum ißt und trinkt er mit Zöllnern und Sündern?;Why is it that he eats and drinks with tax collectors and sinners?;5080
das Tageslicht;daylight;C1;Solche Geheimnisse kommen letztendlich immer ans Tageslicht.;Such secrets are always eventually revealed.;5081
der Willi;willy|penis;C1;Mein Vater lässt mich nicht mit Willi ausgehen.;My father doesn't let me go out with Bill.;5082
entwerfen;to sketch|to draft|to devise|to design;C1;Dieses Vogelhaus wurde von einem berühmten Architekten entworfen.;This birdhouse was designed by a famous architect.;5083
die Köchin;cook|a cooker;C1;Sie arbeitet als Köchin in einem belebten Restaurant.;She works as a cook in a busy restaurant.;5084
die Wurst;sausage|penis;C1;Ich frage mich, wie wohl Würste gemacht werden.;I wonder how sausages are made.;5085
wurst;anyway|anyhow;C1;Das ist mir wurst.;I don't care about it.;5086
ausliefern;to deliver|to distribute|to extradite|to roll out;C1;Die Waren wurden sofort nach dem Verpacken ausgeliefert.;The goods were sent as soon as they were packed.;5087
entsprechend;corresponding|adequate|appropriate|respective|accordingly;C1;Er ist Anwalt und muss entsprechend behandelt werden.;He is a lawyer and must be treated as such.;5088
wodurch;whereby|through what;C1;Wodurch kam es zum Fall der Berliner Mauer?;What led to the fall of the Berlin Wall?;5089
umher;around|round|about;C1;Der Junge irrte ziellos auf der Straße umher.;The boy wandered aimlessly down the street.;5090
wurscht;irrelevant|meaningless;C1;Es ist mir wurst, wie viel Geld du hast.;I don't care how much money you have.;5091
wursten;to make sausage;C1;Ich glaube, das ist alles schon wurst.;I guess none of this matters anymore.;5092
die Armut;poverty;C1;Ethnische Minderheiten kämpfen mit Vorurteilen, Armut und Unterdrückung.;Ethnic minorities struggle against prejudice, poverty, and oppression.;5093
trösten;to console|to comfort|to support someone;C1;Tom wollte Maria trösten, doch sie weinte weiter.;Tom tried to comfort Mary, but she kept crying.;5094
der Antrieb;motive|incentive|motivation|drive|propulsion;C1;Weißt du, was dir fehlt? Durchhaltevermögen und innerer Antrieb.;You know what you're missing? Perseverance and motivation.;5095
antreiben;to drive|to drive on|to propel|to incite|to impel;C1;Diese Maschine wird von einem kleinen Elektromotor angetrieben.;This machine is driven by a small electric motor.;5096
vorsprechen;to audition|to pay a visit|to prompt;C1;Sie sagte, sie sei hier, um vorzusprechen.;She said she was here for an audition.;5097
die Parade;parade|march|parry|save;C1;An der Parade nahmen sechs Marching Bands teil.;The parade included six marching bands.;5098
verbannen;to banish|to exile|to ban;C1;Er wurde wegen Hochverrats auf eine Insel verbannt.;He was banished to an island for high treason.;5099
verbannt;banned|banished;C1;Napoleon wurde 1814 auf die Insel Elba verbannt.;Napoleon was exiled to the island of Elba in 1814.;5100
anfahren;to start moving|to approach|to come driving|to drive|to go against [with gegen ‘something|to e.g. the wind;C1;Der Zug fuhr langsam an.;The train slowly started moving.;5101
der Krüppel;cripple;C1;Deinetwegen bin ich ein Krüppel.;It's because of you that I'm a cripple!;5102
die Bestrafung;punishment;C1;Die Bestrafung sollte im Verhältnis zum Verbrechen stehen.;The punishment should be in proportion to the crime.;5103
kindisch;childish|immature;C1;Eine solch kindische Frage würde ich niemals stellen.;I'd never ask such a childish question.;5104
kleben;to glue|to stick|to be sticky;C1;Der Schlamm klebte an den Schuhen.;The mud was sticking to the shoes.;5105
der Hummer;lobster;C1;Krebse, Hummer, Langusten, Krabben und Garnelen sind Krebstiere.;Crabs, lobsters, crayfish, shrimp and prawns are crustaceans.;5106
die Perücke;wig|periwig|peruke;C1;Ich bin mir ziemlich sicher, dass Tom Perücke trägt.;I'm pretty sure Tom wears a wig.;5107
der Araber;Arab|person from Arabia|Arabian horse;C1;Abraham war der gemeinsame Urahn von Arabern und Juden.;Abraham was the common forefather of the Jews and Arabs.;5108
wimmern;to whimper;C1;Tom wimmerte vor Schmerz.;Tom was moaning in pain.;5109
das Drittel;third;C1;Tom bot Maria ein Drittel seiner Erbschaft an.;Tom offered Mary a third of his inheritance.;5110
der Lieferwagen;delivery van;C1;Ich sah, wie Tom in einen dunkelblauen Lieferwagen stieg.;I saw Tom getting into a dark blue van.;5111
der Anhang;addendum|supplement|attachment|appendage;C1;Ich habe es abgeschickt, aber den Anhang vergessen.;I sent it, but I forgot the attachment.;5112
der Tierarzt;veterinarian|veterinary surgeon;C1;Ich habe einen Freund, dessen Vater Tierarzt ist.;I have a friend whose father is an animal doctor.;5113
verschweigen;to conceal|to fail to mention|to keep quiet;C1;Hast du Kinder, die du mir verschwiegen hast?;Do you have any children you haven't told me about?;5114
anhängen;to weigh on|to burden|to hang on|to be devoted to|to hitch up|to couple;C1;Der Verlust ihres kleinen Bruders hing ihr über viele Jahre hinweg an.;The loss of her little brother weighed on her for many years to come.;5115
verschwiegen;reticent|tight-lipped|quiet|secretive|discreet;C1;verschwiegen wie ein Grab;quiet as the grave;5116
zudem;moreover|furthermore;C1;Er ist jung und zudem auch noch gutaussehend.;He is young and, what is more, handsome.;5117
abkommen;to stray from;C1;von einem Gedanken abkommen;to abandon a thought;5118
das Abkommen;accord|agreement;C1;Ein Abkommen ist sozusagen ein Vertrag zwischen Staaten.;A treaty is, as it were, a contract between countries.;5119
untergehen;to set|to fall|to go down|to perish|to vanish|to be drowned out;C1;Die Sonne ist untergegangen.;The sun has set.;5120
die Autobahn;motorway|freeway|highway|expressway|controlled-access highway;C1;Es gibt auf den deutschen Autobahnen keine Geschwindigkeitsbegrenzung.;There's no speed limit on the Autobahn in Germany.;5121
verfügbar;available|disposable;C1;Es waren keine Eintrittskarten für die Freitagvorstellung verfügbar.;There were no tickets available for Friday's performance.;5122
verarbeiten;to process|to handle|to manufacture;C1;Er benutzt seinen Rechner, um Bilder zu verarbeiten.;He uses his computer to process images.;5123
widmen;to dedicate|to devote|to attend;C1;Tom widmete sein Leben dem Studium dieses Phänomens.;Tom devoted his life to the study of this phenomenon.;5124
erstatten;to grant|to administer|to make|to do;C1;Wir werden Ihnen die Kosten erstatten.;We will reimburse you for your costs.;5125
das Sprichwort;saying|proverb|adage|maxim;C1;Wie viele Sprichwörter haben wir bis jetzt gelernt?;How many proverbs have we learned so far?;5126
die Vergeltung;requital|reciprocation|payback;C1;Das Leben ist reich an Opfern und arm an Vergeltungen.;Life is rich in sacrifices and poor in retributions.;5127
hierfür;for this|therefore;C1;Mir fällt das richtige Wort hierfür nicht ein.;The right word for this does not come to me.;5128
immerzu;incessantly;C1;Es ist nicht schön, immerzu müde zu sein.;It isn't pleasant to constantly be tired.;5129
die Flut;flow|flood|high tide|great masses of water|usually of the sea|flooding;C1;Viele Häuser wurden durch die Flut irreparabel beschädigt.;Many houses were damaged beyond repair in the flood.;5130
das Brötchen;a bun|bread roll|a small open sandwich;C1;An einem Stand wurden Matjesheringe im Brötchen angeboten.;Salted herring rolls were being sold at a stand.;5131
