heimtückisch;insidious|treacherous|malicious;C2;Das ist eine heimtückische Krankheit.;It is an insidious disease.
arglos;innocent|unsuspecting|guileless;C2;Arglos öffnete sie die Tür.;Unsuspecting, she opened the door.
behutsam;careful|gentle|cautious;C2;Sie ging behutsam mit dem Thema um.;She handled the topic carefully.
bedächtig;deliberate|measured|thoughtful;C2;Er sprach langsam und bedächtig.;He spoke slowly and deliberately.
besonnen;level-headed|prudent|sensible|calm;C2;Die Polizei reagierte besonnen.;The police reacted level-headedly.
gewissenhaft;conscientious|meticulous;C1;Sie arbeitet sehr gewissenhaft.;She works very conscientiously.
leichtfertig;careless|rash|frivolous;C2;Man sollte nicht leichtfertig Versprechen machen.;One shouldn't make promises lightly.
fahrlässig;negligent|careless;C2;Er handelte grob fahrlässig.;He acted with gross negligence.
verwegen;daring|bold|audacious;C2;Das ist ein verwegener Plan.;That is a daring plan.
tollkühn;foolhardy|daredevil|reckless;C2;Mit einem tollkühnen Sprung rettete er sich.;He saved himself with a daredevil leap.
wankelmütig;fickle|capricious|vacillating;C2;Die Wähler sind wankelmütig.;Voters are fickle.
launisch;moody|temperamental|capricious;C1;Sie ist heute sehr launisch.;She is very moody today.
wehmütig;wistful|melancholic|nostalgic;C2;Wehmütig blickte er zurück.;He looked back wistfully.
schwermütig;melancholic|depressed|melancholy;C2;Das Lied klingt schwermütig.;The song sounds melancholic.
verdrossen;sullen|disgruntled|morose;C2;Die Wähler sind politikverdrossen – und verdrossen.;Voters are disillusioned with politics – and disgruntled.
gereizt;irritable|irritated|touchy;C1;Er reagierte gereizt.;He reacted irritably.
verblüfft;amazed|baffled|astonished|stunned;C1;Sie war völlig verblüfft.;She was completely baffled.
bestürzt;dismayed|shocked|upset;C2;Wir sind über die Nachricht bestürzt.;We are dismayed by the news.
erschüttert;shaken|shocked|devastated;C1;Das Land ist tief erschüttert.;The country is deeply shaken.
fassungslos;stunned|speechless|bewildered|aghast;C1;Fassungslos starrte er auf den Bildschirm.;He stared at the screen in disbelief.
ergiebig;productive|fruitful|rich|abundant;C2;Das Gespräch war sehr ergiebig.;The conversation was very fruitful.
kostspielig;costly|expensive;C1;Das ist ein kostspieliges Hobby.;That's an expensive hobby.
dürftig;poor|meager|scanty|sparse;C2;Die Beweislage ist dürftig.;The evidence is thin.
spärlich;sparse|scanty|meager;C2;Die Informationen sind spärlich.;Information is scarce.
üppig;lavish|lush|opulent|abundant;C2;Es gab ein üppiges Frühstück.;There was a lavish breakfast.
eindringlich;urgent|insistent|forceful|haunting;C2;Er warnte eindringlich vor den Folgen.;He urgently warned of the consequences.
nachdrücklich;emphatic|insistent|emphatically;C2;Ich muss nachdrücklich darauf hinweisen.;I must emphatically point this out.
unmissverständlich;unmistakable|unambiguous|clear;C2;Sie machte ihren Standpunkt unmissverständlich klar.;She made her position unmistakably clear.
ausgewogen;balanced;C1;Achte auf eine ausgewogene Ernährung.;Make sure you eat a balanced diet.
ausgeprägt;pronounced|distinct|marked;C1;Er hat einen ausgeprägten Sinn für Humor.;He has a pronounced sense of humour.
bahnbrechend;groundbreaking|pioneering|revolutionary;C1;Das war eine bahnbrechende Entdeckung.;That was a groundbreaking discovery.
wegweisend;pioneering|trailblazing|groundbreaking;C2;Das Urteil ist wegweisend.;The ruling sets a precedent.
herkömmlich;conventional|traditional;C1;Im Vergleich zu herkömmlichen Methoden ist das schneller.;Compared to conventional methods, this is faster.
vorläufig;provisional|temporary|for the time being;C1;Das ist nur ein vorläufiges Ergebnis.;This is only a provisional result.
hinfällig;invalid|obsolete|frail;C2;Damit ist der Plan hinfällig.;That makes the plan obsolete.
vergänglich;transient|ephemeral|transitory|fleeting;C2;Schönheit ist vergänglich.;Beauty is fleeting.
beschaulich;tranquil|peaceful|contemplative;C2;Sie leben in einem beschaulichen Dorf.;They live in a tranquil village.
verschroben;eccentric|quirky|odd;C2;Der alte Professor ist etwas verschroben.;The old professor is somewhat eccentric.
spießig;petty bourgeois|stuffy|square|conventional;C2;Seine Eltern findet er spießig.;He finds his parents stuffy.
kleinlich;petty|pedantic|small-minded;C1;Sei nicht so kleinlich!;Don't be so petty!
engstirnig;narrow-minded;C1;Er ist erschreckend engstirnig.;He is shockingly narrow-minded.
aufgeschlossen;open-minded|receptive;C1;Sie ist neuen Ideen gegenüber aufgeschlossen.;She is open to new ideas.
redselig;talkative|garrulous|chatty;C2;Nach zwei Gläsern Wein wurde er redselig.;After two glasses of wine he became talkative.
wortkarg;taciturn|laconic|monosyllabic;C2;Der Bauer war eher wortkarg.;The farmer was rather taciturn.
schlagfertig;quick-witted|quick at repartee;C2;Sie ist unglaublich schlagfertig.;She is incredibly quick-witted.
weitschweifig;long-winded|verbose|rambling;C2;Seine Erklärungen sind oft weitschweifig.;His explanations are often long-winded.
lapidar;terse|succinct|pithy|laconic;C2;Die Antwort war lapidar: Nein.;The answer was terse: No.
salopp;casual|sloppy|slangy|informal;C2;Salopp formuliert: Das ist Mist.;To put it casually: that's rubbish.
zweckmäßig;appropriate|expedient|practical|functional;C2;Die Einrichtung ist schlicht und zweckmäßig.;The furnishings are plain and functional.
zwangsläufig;inevitable|necessarily|inevitably;C1;Das führt zwangsläufig zu Problemen.;That inevitably leads to problems.
schlichtweg;simply|downright|quite simply;C2;Das ist schlichtweg falsch.;That is simply wrong.
gleichwohl;nevertheless|nonetheless;C2;Die Lage ist ernst, gleichwohl nicht hoffnungslos.;The situation is serious, but nevertheless not hopeless.
indes;however|meanwhile;C2;Die Regierung indes schweigt.;The government, however, remains silent.
mithin;consequently|therefore|thus;C2;Er war nicht da, mithin kann er es nicht gewesen sein.;He wasn't there, therefore it can't have been him.
demzufolge;consequently|accordingly|therefore;C1;Demzufolge müssen wir umplanen.;Consequently we have to change our plans.
nichtsdestotrotz;nevertheless|nonetheless;C1;Nichtsdestotrotz bleibe ich optimistisch.;Nevertheless, I remain optimistic.
infolgedessen;as a result|consequently;C1;Es regnete stark, infolgedessen fiel das Spiel aus.;It rained heavily; as a result the match was cancelled.
hingegen;however|on the other hand|whereas;C1;Er ist fleißig, sein Bruder hingegen faul.;He is hard-working, whereas his brother is lazy.
wohingegen;whereas;C1;Sie liebt Kaffee, wohingegen er Tee bevorzugt.;She loves coffee, whereas he prefers tea.
insofern;in this respect|insofar|to that extent;C1;Insofern hast du recht.;In that respect you are right.
zumal;especially since|particularly as;C1;Ich bleibe zu Hause, zumal es regnet.;I'm staying at home, especially since it's raining.
etwaig;any|possible|potential;C2;Etwaige Fragen beantworte ich gern.;I'm happy to answer any questions.
diesbezüglich;in this regard|regarding this|in this respect;C1;Diesbezüglich gibt es keine Neuigkeiten.;There is no news in this regard.
beizeiten;in good time|early|in due course;C2;Wir sollten uns beizeiten darum kümmern.;We should take care of it in good time.
unlängst;recently|lately|not long ago;C2;Unlängst traf ich einen alten Freund.;Not long ago I met an old friend.
allenfalls;at most|at best|if anything;C2;Das kostet allenfalls zehn Euro.;That costs ten euros at most.
tunlichst;if at all possible|by all means|at all costs;C2;Das sollte man tunlichst vermeiden.;That should be avoided if at all possible.
geflissentlich;deliberately|studiously|intentionally;C2;Er überhörte die Frage geflissentlich.;He studiously ignored the question.
schleunigst;as quickly as possible|immediately|right away;C2;Wir müssen schleunigst hier weg.;We need to get out of here as quickly as possible.
ohnehin;anyway|in any case|anyhow;C1;Ich wollte ohnehin gerade gehen.;I was about to leave anyway.
keineswegs;by no means|not at all|in no way;C1;Das ist keineswegs sicher.;That is by no means certain.
weitgehend;largely|extensively|to a large extent;C1;Die Arbeiten sind weitgehend abgeschlossen.;The work is largely completed.
gewissermaßen;so to speak|to some extent|as it were;C1;Er ist gewissermaßen der Chef.;He is the boss, so to speak.
vorwiegend;predominantly|mainly|mostly;C1;Das Publikum war vorwiegend jung.;The audience was predominantly young.
ausnahmslos;without exception;C1;Alle Teilnehmer bestanden ausnahmslos.;All participants passed without exception.
den Nagel auf den Kopf treffen;to hit the nail on the head;C1;Mit dieser Bemerkung hast du den Nagel auf den Kopf getroffen.;With that remark you hit the nail on the head.
ins Fettnäpfchen treten;to put one's foot in it|to put one's foot in one's mouth;C2;Mit der Frage nach seiner Ex ist sie voll ins Fettnäpfchen getreten.;Asking about his ex, she really put her foot in it.
die Katze im Sack kaufen;to buy a pig in a poke;C2;Ohne Probefahrt kaufe ich doch nicht die Katze im Sack.;I'm not going to buy a pig in a poke without a test drive.
Tomaten auf den Augen haben;to be blind to something|to be oblivious|to not see what's in front of one;C2;Hast du Tomaten auf den Augen? Das Schild steht direkt vor dir!;Are you blind? The sign is right in front of you!
jemandem einen Bären aufbinden;to pull someone's leg|to have someone on;C2;Du willst mir doch einen Bären aufbinden!;You're pulling my leg!
auf dem Holzweg sein;to be on the wrong track|to be barking up the wrong tree;C2;Wenn du das glaubst, bist du auf dem Holzweg.;If you believe that, you're on the wrong track.
etwas auf die lange Bank schieben;to put something off|to procrastinate|to postpone something;C2;Die Steuererklärung schiebe ich immer auf die lange Bank.;I always put off my tax return.
um den heißen Brei herumreden;to beat around the bush|to beat about the bush;C2;Red nicht um den heißen Brei herum!;Stop beating around the bush!
jemandem reinen Wein einschenken;to tell someone the truth|to come clean with someone;C2;Es ist Zeit, ihm reinen Wein einzuschenken.;It's time to tell him the truth.
seinen Senf dazugeben;to put in one's two cents|to add one's two cents;C2;Er muss immer seinen Senf dazugeben.;He always has to put his two cents in.
die Flinte ins Korn werfen;to throw in the towel|to give up;C2;Wirf nicht gleich die Flinte ins Korn!;Don't throw in the towel right away!
kein Blatt vor den Mund nehmen;to not mince one's words|to speak one's mind;C2;Sie nimmt kein Blatt vor den Mund.;She doesn't mince her words.
Schwein haben;to be lucky|to get lucky;C1;Da hast du aber Schwein gehabt!;You were really lucky there!
ins Blaue hinein;at random|off the top of one's head|blindly;C2;Er hat einfach ins Blaue hinein geraten.;He just guessed at random.
etwas an die große Glocke hängen;to shout something from the rooftops|to make a big fuss about something;C2;Das musst du nicht gleich an die große Glocke hängen.;You don't have to shout it from the rooftops.
die Nase voll haben;to be fed up|to have had enough;C1;Ich habe die Nase voll von deinen Ausreden.;I'm fed up with your excuses.
sich den Kopf zerbrechen;to rack one's brains;C1;Zerbrich dir darüber nicht den Kopf.;Don't rack your brains over it.
ein Auge zudrücken;to turn a blind eye;C1;Diesmal drücke ich noch ein Auge zu.;I'll turn a blind eye this time.
jemandem auf den Keks gehen;to get on someone's nerves;C1;Du gehst mir echt auf den Keks.;You're really getting on my nerves.
unter vier Augen;in private|privately|face to face;C1;Können wir das unter vier Augen besprechen?;Can we discuss this in private?
das A und O;the be-all and end-all|the essentials|the key thing;C1;Übung ist das A und O.;Practice is the be-all and end-all.
Haare spalten;to split hairs;C2;Hör auf, Haare zu spalten.;Stop splitting hairs.
aus einer Mücke einen Elefanten machen;to make a mountain out of a molehill;C1;Mach doch aus einer Mücke keinen Elefanten!;Don't make a mountain out of a molehill!
jemandem den Rücken stärken;to back someone up|to support someone;C2;Die Partei stärkte ihrem Vorsitzenden den Rücken.;The party backed its chairman.
etwas in den Sand setzen;to screw something up|to mess something up|to blow something;C2;Er hat das Projekt komplett in den Sand gesetzt.;He completely screwed up the project.
auf Messers Schneide stehen;to hang in the balance|to be on a knife-edge;C2;Die Wahl steht auf Messers Schneide.;The election is on a knife-edge.
jemandem das Wasser reichen können;to hold a candle to someone|to be a match for someone;C2;In Mathe kann ihr keiner das Wasser reichen.;In maths nobody can hold a candle to her.
alles in Butter;everything is fine|all is well|everything's fine;C2;Keine Sorge, alles in Butter.;Don't worry, everything's fine.
mit jemandem ein Hühnchen zu rupfen haben;to have a bone to pick with someone;C2;Mit dir habe ich noch ein Hühnchen zu rupfen!;I've got a bone to pick with you!
von der Hand zu weisen;to be dismissed|to be denied;C2;Das ist nicht von der Hand zu weisen.;That can't be dismissed.
in die Bresche springen;to step into the breach|to step in;C2;Als der Kollege ausfiel, sprang sie in die Bresche.;When her colleague was off sick, she stepped into the breach.
jemandem Honig um den Bart schmieren;to butter someone up|to sweet-talk someone;C2;Du brauchst mir keinen Honig um den Bart zu schmieren.;You don't need to butter me up.
